year	eeacellcode	specieskey	species	establishmentmeans	degreeofestablishment	pathway	occurrences	distinctobservers
2024	1kmE4000N3107	2880539	Quercus rubra				3	1
2024	1kmE4000N3107	3054368	Juglans regia				2	1
2024	1kmE4000N3108	2880539	Quercus rubra				3	1
2024	1kmE4000N3111	2880539	Quercus rubra				1	1
2024	1kmE4000N3111	5333294	Castanea sativa				2	1
2024	1kmE4000N3112	2880539	Quercus rubra				1	1
2024	1kmE4000N3113	2880539	Quercus rubra				1	1
2024	1kmE4000N3118	3054368	Juglans regia				3	1
2024	1kmE4001N3086	2880539	Quercus rubra				1	1
2024	1kmE4001N3088	8313153	Quercus palustris				1	1
2024	1kmE4001N3101	2880539	Quercus rubra				3	1
2024	1kmE4001N3105	5333294	Castanea sativa				1	1
2024	1kmE4001N3105	8313153	Quercus palustris				1	1
2024	1kmE4001N3106	2880539	Quercus rubra				2	1
2024	1kmE4001N3108	2876213	Alnus glutinosa				1	1
2024	1kmE4001N3110	2880539	Quercus rubra				1	1
2024	1kmE4001N3111	5333294	Castanea sativa				4	1
2024	1kmE4001N3112	5333294	Castanea sativa				2	1
2024	1kmE4002N3092	3054368	Juglans regia				1	1
2024	1kmE4002N3097	3054368	Juglans regia				1	1
2024	1kmE4002N3098	2880539	Quercus rubra				1	1
2024	1kmE4002N3099	5333294	Castanea sativa				1	1
2024	1kmE4002N3106	3054368	Juglans regia				1	1
2024	1kmE4002N3109	2880539	Quercus rubra				1	1
2024	1kmE4002N3111	2880539	Quercus rubra				1	1
2024	1kmE4003N3091	3054368	Juglans regia				1	1
2024	1kmE4003N3094	3054368	Juglans regia				1	1
2024	1kmE4003N3095	3054368	Juglans regia				1	1
2024	1kmE4003N3097	2880539	Quercus rubra				1	1
2024	1kmE4003N3097	5333294	Castanea sativa				1	1
2024	1kmE4003N3098	2880539	Quercus rubra				3	1
2024	1kmE4003N3104	3054368	Juglans regia				1	1
2024	1kmE4003N3106	8313153	Quercus palustris				1	1
2024	1kmE4003N3107	5333294	Castanea sativa				1	1
2024	1kmE4003N3109	5333294	Castanea sativa				1	1
2024	1kmE4003N3110	2880539	Quercus rubra				1	1
2024	1kmE4004N3088	9148577	Alnus incana				1	1
2024	1kmE4004N3089	9148577	Alnus incana				1	1
2024	1kmE4004N3097	2880539	Quercus rubra				2	1
2024	1kmE4004N3097	3054368	Juglans regia				2	1
2024	1kmE4004N3101	2876607	Alnus cordata				1	1
2024	1kmE4004N3102	5333294	Castanea sativa				1	1
2024	1kmE4004N3104	2880539	Quercus rubra				1	1
2024	1kmE4004N3105	3054368	Juglans regia				4	1
2024	1kmE4004N3105	5333294	Castanea sativa				3	1
2024	1kmE4004N3105	8313153	Quercus palustris				2	1
2024	1kmE4004N3106	2880539	Quercus rubra				3	1
2024	1kmE4004N3106	8313153	Quercus palustris				1	1
2024	1kmE4004N3107	3054368	Juglans regia				1	1
2024	1kmE4004N3110	2876049	Corylus maxima				1	1
2024	1kmE4004N3110	2880539	Quercus rubra				1	1
2024	1kmE4004N3110	5333294	Castanea sativa				2	1
2024	1kmE4005N3088	2880539	Quercus rubra				1	1
2024	1kmE4005N3088	3054368	Juglans regia				1	1
2024	1kmE4005N3089	3054368	Juglans regia				1	1
2024	1kmE4005N3090	5333294	Castanea sativa				1	1
2024	1kmE4005N3091	3054368	Juglans regia				1	1
2024	1kmE4005N3091	5333294	Castanea sativa				1	1
2024	1kmE4005N3092	3054368	Juglans regia				1	1
2024	1kmE4005N3093	5333294	Castanea sativa				2	1
2024	1kmE4005N3093	8313153	Quercus palustris				1	1
2024	1kmE4005N3105	3054368	Juglans regia				2	1
2024	1kmE4005N3107	2878688	Quercus robur				1	1
2024	1kmE4005N3108	2875968	Corylus colurna				3	2
2024	1kmE4005N3108	2880539	Quercus rubra				2	1
2024	1kmE4005N3108	3054368	Juglans regia				2	1
2024	1kmE4005N3108	5333294	Castanea sativa				2	1
2024	1kmE4005N3109	3054368	Juglans regia				1	1
2024	1kmE4005N3110	2876607	Alnus cordata				1	1
2024	1kmE4005N3110	2880539	Quercus rubra				2	1
2024	1kmE4006N3102	2880539	Quercus rubra				1	1
2024	1kmE4006N3103	2880539	Quercus rubra				3	1
2024	1kmE4006N3103	5333294	Castanea sativa				3	1
2024	1kmE4006N3105	2882316	Fagus sylvatica				1	1
2024	1kmE4006N3105	3054368	Juglans regia				1	1
2024	1kmE4006N3105	5333294	Castanea sativa				1	1
2024	1kmE4006N3110	2880539	Quercus rubra				1	1
2024	1kmE4006N3117	5333294	Castanea sativa				1	1
2024	1kmE4006N3118	2880539	Quercus rubra				2	1
2024	1kmE4007N3096	2880539	Quercus rubra				2	1
2024	1kmE4007N3097	5333294	Castanea sativa				1	1
2024	1kmE4007N3100	2880539	Quercus rubra				1	1
2024	1kmE4007N3100	5333294	Castanea sativa				1	1
2024	1kmE4007N3103	2880539	Quercus rubra				2	1
2024	1kmE4007N3104	2880539	Quercus rubra				2	1
2024	1kmE4007N3104	5333294	Castanea sativa				1	1
2024	1kmE4007N3105	3054368	Juglans regia				2	1
2024	1kmE4007N3108	5331916	Betula pendula				1	1
2024	1kmE4007N3110	2880539	Quercus rubra				1	1
2024	1kmE4007N3111	5333294	Castanea sativa				2	1
2024	1kmE4008N3090	2878688	Quercus robur				1	1
2024	1kmE4008N3095	2880539	Quercus rubra				2	1
2024	1kmE4008N3095	5333294	Castanea sativa				2	1
2024	1kmE4008N3096	2880539	Quercus rubra				1	1
2024	1kmE4008N3096	5333294	Castanea sativa				1	1
2024	1kmE4008N3099	2880539	Quercus rubra				2	1
2024	1kmE4008N3100	2880539	Quercus rubra				1	1
2024	1kmE4008N3101	2880539	Quercus rubra				1	1
2024	1kmE4008N3101	5333294	Castanea sativa				1	1
2024	1kmE4008N3108	2878688	Quercus robur				1	1
2024	1kmE4008N3108	2880539	Quercus rubra				1	1
2024	1kmE4008N3108	9118014	Betula pubescens				1	1
2024	1kmE4008N3109	2880539	Quercus rubra				3	1
2024	1kmE4009N3091	3054368	Juglans regia				2	1
2024	1kmE4009N3094	2875818	Carpinus betulus				1	1
2024	1kmE4009N3094	2880539	Quercus rubra				2	1
2024	1kmE4009N3094	3054368	Juglans regia				2	1
2024	1kmE4009N3095	2880539	Quercus rubra				1	1
2024	1kmE4009N3096	2880539	Quercus rubra				1	1
2024	1kmE4009N3096	8313153	Quercus palustris				1	1
2024	1kmE4009N3100	2876049	Corylus maxima				1	1
2024	1kmE4009N3100	3054368	Juglans regia				1	1
2024	1kmE4009N3101	2880539	Quercus rubra				1	1
2024	1kmE4009N3102	5333294	Castanea sativa				1	1
2024	1kmE4009N3103	5333294	Castanea sativa				2	1
2024	1kmE4009N3104	2880539	Quercus rubra				2	1
2024	1kmE4009N3105	2880539	Quercus rubra				1	1
2024	1kmE4009N3108	2880539	Quercus rubra				1	1
2024	1kmE4009N3108	9118014	Betula pubescens				1	1
2024	1kmE4009N3114	2880539	Quercus rubra				1	1
2024	1kmE4010N3084	2875979	Corylus avellana				1	1
2024	1kmE4010N3086	2875818	Carpinus betulus				1	1
2024	1kmE4010N3086	9118014	Betula pubescens				1	1
2024	1kmE4010N3087	2878688	Quercus robur				2	2
2024	1kmE4010N3087	3054368	Juglans regia				1	1
2024	1kmE4010N3087	5333294	Castanea sativa				1	1
2024	1kmE4010N3088	2875818	Carpinus betulus				1	1
2024	1kmE4010N3092	3054368	Juglans regia				1	1
2024	1kmE4010N3093	5333294	Castanea sativa				1	1
2024	1kmE4010N3095	5333294	Castanea sativa				2	1
2024	1kmE4010N3096	2880539	Quercus rubra				4	1
2024	1kmE4010N3103	2880539	Quercus rubra				2	1
2024	1kmE4010N3104	3054368	Juglans regia				1	1
2024	1kmE4010N3104	5333294	Castanea sativa				1	1
2024	1kmE4010N3107	2880539	Quercus rubra				1	1
2024	1kmE4010N3107	3054368	Juglans regia				1	1
2024	1kmE4010N3112	3054368	Juglans regia				1	1
2024	1kmE4010N3112	5333294	Castanea sativa				1	1
2024	1kmE4011N3081	2876213	Alnus glutinosa				1	1
2024	1kmE4011N3082	2875818	Carpinus betulus				1	1
2024	1kmE4011N3082	2875979	Corylus avellana				1	1
2024	1kmE4011N3082	2878688	Quercus robur				1	1
2024	1kmE4011N3082	3054368	Juglans regia				1	1
2024	1kmE4011N3082	5331916	Betula pendula				1	1
2024	1kmE4011N3082	5333294	Castanea sativa				1	1
2024	1kmE4011N3084	2876213	Alnus glutinosa				1	1
2024	1kmE4011N3086	2882316	Fagus sylvatica				1	1
2024	1kmE4011N3087	2878688	Quercus robur				1	1
2024	1kmE4011N3087	2880539	Quercus rubra				1	1
2024	1kmE4011N3087	5333294	Castanea sativa				1	1
2024	1kmE4011N3088	2875979	Corylus avellana				1	1
2024	1kmE4011N3090	3054368	Juglans regia				1	1
2024	1kmE4011N3095	2876213	Alnus glutinosa				1	1
2024	1kmE4011N3096	5333294	Castanea sativa				1	1
2024	1kmE4011N3097	5333294	Castanea sativa				1	1
2024	1kmE4011N3098	2880539	Quercus rubra				1	1
2024	1kmE4011N3098	5333294	Castanea sativa				1	1
2024	1kmE4011N3100	3054368	Juglans regia				1	1
2024	1kmE4011N3110	2880539	Quercus rubra				2	1
2024	1kmE4011N3111	2880539	Quercus rubra				1	1
2024	1kmE4012N3081	2875979	Corylus avellana				1	1
2024	1kmE4012N3081	3054368	Juglans regia				1	1
2024	1kmE4012N3082	5333294	Castanea sativa				1	1
2024	1kmE4012N3083	2875979	Corylus avellana				1	1
2024	1kmE4012N3083	2876213	Alnus glutinosa				1	1
2024	1kmE4012N3084	2875818	Carpinus betulus				1	1
2024	1kmE4012N3084	2875979	Corylus avellana				1	1
2024	1kmE4012N3084	2876213	Alnus glutinosa				1	1
2024	1kmE4012N3084	5331916	Betula pendula				1	1
2024	1kmE4012N3085	2875979	Corylus avellana				1	1
2024	1kmE4012N3085	2882316	Fagus sylvatica				1	1
2024	1kmE4012N3087	2875979	Corylus avellana				1	1
2024	1kmE4012N3087	2882316	Fagus sylvatica				1	1
2024	1kmE4012N3088	2876213	Alnus glutinosa				1	1
2024	1kmE4012N3088	2882316	Fagus sylvatica				1	1
2024	1kmE4012N3088	5331916	Betula pendula				1	1
2024	1kmE4012N3088	5333294	Castanea sativa				1	1
2024	1kmE4012N3089	2875979	Corylus avellana				1	1
2024	1kmE4012N3089	2878688	Quercus robur				1	1
2024	1kmE4012N3090	2878688	Quercus robur				1	1
2024	1kmE4012N3096	5333294	Castanea sativa				1	1
2024	1kmE4012N3099	5333294	Castanea sativa				1	1
2024	1kmE4012N3100	2880539	Quercus rubra				2	1
2024	1kmE4012N3100	5333294	Castanea sativa				3	1
2024	1kmE4012N3103	2880539	Quercus rubra				1	1
2024	1kmE4012N3104	5333294	Castanea sativa				1	1
2024	1kmE4012N3108	5333294	Castanea sativa				1	1
2024	1kmE4012N3111	2880539	Quercus rubra				1	1
2024	1kmE4012N3114	2880539	Quercus rubra				1	1
2024	1kmE4012N3115	2880539	Quercus rubra				1	1
2024	1kmE4013N3080	2882316	Fagus sylvatica				1	1
2024	1kmE4013N3080	9148577	Alnus incana				1	1
2024	1kmE4013N3081	2875979	Corylus avellana				1	1
2024	1kmE4013N3082	2882316	Fagus sylvatica				1	1
2024	1kmE4013N3083	5333294	Castanea sativa				2	1
2024	1kmE4013N3084	2875979	Corylus avellana				1	1
2024	1kmE4013N3085	2875979	Corylus avellana				1	1
2024	1kmE4013N3085	2882316	Fagus sylvatica				1	1
2024	1kmE4013N3085	3054368	Juglans regia				1	1
2024	1kmE4013N3086	2875979	Corylus avellana				1	1
2024	1kmE4013N3086	2882316	Fagus sylvatica				1	1
2024	1kmE4013N3088	5333294	Castanea sativa				1	1
2024	1kmE4013N3088	9148577	Alnus incana				1	1
2024	1kmE4013N3089	2875979	Corylus avellana				1	1
2024	1kmE4013N3089	2880539	Quercus rubra				1	1
2024	1kmE4013N3089	2882316	Fagus sylvatica				1	1
2024	1kmE4013N3090	2875979	Corylus avellana				1	1
2024	1kmE4013N3090	2882316	Fagus sylvatica				1	1
2024	1kmE4013N3098	2880539	Quercus rubra				1	1
2024	1kmE4013N3099	2880539	Quercus rubra				2	1
2024	1kmE4013N3099	5333294	Castanea sativa				3	1
2024	1kmE4013N3100	2880539	Quercus rubra				1	1
2024	1kmE4013N3100	5333294	Castanea sativa				2	1
2024	1kmE4013N3109	5333294	Castanea sativa				3	1
2024	1kmE4013N3112	2880539	Quercus rubra				1	1
2024	1kmE4013N3115	2880539	Quercus rubra				2	1
2024	1kmE4014N3080	2876213	Alnus glutinosa				1	1
2024	1kmE4014N3081	3054368	Juglans regia				1	1
2024	1kmE4014N3082	2875979	Corylus avellana				2	1
2024	1kmE4014N3082	2878688	Quercus robur				1	1
2024	1kmE4014N3082	5331916	Betula pendula				1	1
2024	1kmE4014N3083	2875818	Carpinus betulus				1	1
2024	1kmE4014N3083	2875979	Corylus avellana				2	2
2024	1kmE4014N3084	2875979	Corylus avellana				1	1
2024	1kmE4014N3085						1	1
2024	1kmE4014N3086	2875818	Carpinus betulus				2	2
2024	1kmE4014N3086	2875979	Corylus avellana				1	1
2024	1kmE4014N3086	2882316	Fagus sylvatica				1	1
2024	1kmE4014N3086	3054368	Juglans regia				1	1
2024	1kmE4014N3087	2875979	Corylus avellana				2	2
2024	1kmE4014N3088	2875979	Corylus avellana				2	2
2024	1kmE4014N3089	2878688	Quercus robur				1	1
2024	1kmE4014N3089	2880539	Quercus rubra				1	1
2024	1kmE4014N3089	5331916	Betula pendula				1	1
2024	1kmE4014N3091	2875979	Corylus avellana				1	1
2024	1kmE4014N3091	2876213	Alnus glutinosa				1	1
2024	1kmE4014N3091	5333294	Castanea sativa				1	1
2024	1kmE4014N3091	9118014	Betula pubescens				1	1
2024	1kmE4014N3092	3054368	Juglans regia				1	1
2024	1kmE4014N3093	3054368	Juglans regia				1	1
2024	1kmE4014N3095	2875818	Carpinus betulus				1	1
2024	1kmE4014N3096	2880539	Quercus rubra				1	1
2024	1kmE4014N3096	3054368	Juglans regia				1	1
2024	1kmE4014N3098	2880539	Quercus rubra				1	1
2024	1kmE4014N3099	2880539	Quercus rubra				1	1
2024	1kmE4014N3115	2880539	Quercus rubra				1	1
2024	1kmE4015N3081	5333294	Castanea sativa				1	1
2024	1kmE4015N3081	9148577	Alnus incana				1	1
2024	1kmE4015N3082	2875979	Corylus avellana				1	1
2024	1kmE4015N3083	2875979	Corylus avellana				1	1
2024	1kmE4015N3083	2876213	Alnus glutinosa				1	1
2024	1kmE4015N3084	2878688	Quercus robur				1	1
2024	1kmE4015N3085	2875979	Corylus avellana				1	1
2024	1kmE4015N3085	2880130	Quercus petraea				1	1
2024	1kmE4015N3085	2880539	Quercus rubra				1	1
2024	1kmE4015N3085	2882316	Fagus sylvatica				1	1
2024	1kmE4015N3085	3054368	Juglans regia				1	1
2024	1kmE4015N3086	2875818	Carpinus betulus				1	1
2024	1kmE4015N3086	2878688	Quercus robur				3	3
2024	1kmE4015N3087	2875979	Corylus avellana				1	1
2024	1kmE4015N3087	2880539	Quercus rubra				1	1
2024	1kmE4015N3087	5331916	Betula pendula				2	2
2024	1kmE4015N3088	2875979	Corylus avellana				1	1
2024	1kmE4015N3088	2882316	Fagus sylvatica				2	2
2024	1kmE4015N3088	5333294	Castanea sativa				1	1
2024	1kmE4015N3089	5331916	Betula pendula				1	1
2024	1kmE4015N3090	2876213	Alnus glutinosa				1	1
2024	1kmE4015N3091	2875979	Corylus avellana				1	1
2024	1kmE4015N3092	2875818	Carpinus betulus				1	1
2024	1kmE4015N3094	5331916	Betula pendula				1	1
2024	1kmE4015N3097	2880539	Quercus rubra				1	1
2024	1kmE4015N3098	5333294	Castanea sativa				1	1
2024	1kmE4015N3099	2880539	Quercus rubra				1	1
2024	1kmE4015N3101	2880539	Quercus rubra				1	1
2024	1kmE4015N3102	5333294	Castanea sativa				1	1
2024	1kmE4015N3104	5333294	Castanea sativa				1	1
2024	1kmE4015N3105	2880539	Quercus rubra				1	1
2024	1kmE4015N3107	5333294	Castanea sativa				1	1
2024	1kmE4015N3110	5333294	Castanea sativa				1	1
2024	1kmE4015N3116	2880539	Quercus rubra				1	1
2024	1kmE4015N3116	5333294	Castanea sativa				3	1
2024	1kmE4015N3117	2880539	Quercus rubra				1	1
2024	1kmE4016N3080	2875979	Corylus avellana				1	1
2024	1kmE4016N3080	3054368	Juglans regia				1	1
2024	1kmE4016N3081	2875979	Corylus avellana				1	1
2024	1kmE4016N3081	5331916	Betula pendula				1	1
2024	1kmE4016N3082	2875979	Corylus avellana				1	1
2024	1kmE4016N3082	2876213	Alnus glutinosa				1	1
2024	1kmE4016N3082	2882316	Fagus sylvatica				2	2
2024	1kmE4016N3083	2875979	Corylus avellana				2	1
2024	1kmE4016N3083	5333294	Castanea sativa				1	1
2024	1kmE4016N3084	2875979	Corylus avellana				1	1
2024	1kmE4016N3084	2878688	Quercus robur				1	1
2024	1kmE4016N3084	5333294	Castanea sativa				1	1
2024	1kmE4016N3085	5331916	Betula pendula				1	1
2024	1kmE4016N3086	2875818	Carpinus betulus				2	2
2024	1kmE4016N3086	2880130	Quercus petraea				1	1
2024	1kmE4016N3086	2882316	Fagus sylvatica				1	1
2024	1kmE4016N3087	2875979	Corylus avellana				1	1
2024	1kmE4016N3087	2880130	Quercus petraea				1	1
2024	1kmE4016N3087	3054368	Juglans regia				1	1
2024	1kmE4016N3087	5331916	Betula pendula				1	1
2024	1kmE4016N3087	5333294	Castanea sativa				1	1
2024	1kmE4016N3088	2875979	Corylus avellana				3	3
2024	1kmE4016N3088	3054368	Juglans regia				2	2
2024	1kmE4016N3089	2875979	Corylus avellana				1	1
2024	1kmE4016N3089	5333294	Castanea sativa				1	1
2024	1kmE4016N3090	2875818	Carpinus betulus				2	2
2024	1kmE4016N3091	5333294	Castanea sativa				1	1
2024	1kmE4016N3093	3054368	Juglans regia				1	1
2024	1kmE4016N3095	2876049	Corylus maxima				1	1
2024	1kmE4016N3095	2876213	Alnus glutinosa				1	1
2024	1kmE4016N3095	3054368	Juglans regia				1	1
2024	1kmE4016N3096	3054368	Juglans regia				1	1
2024	1kmE4016N3096	5333294	Castanea sativa				2	2
2024	1kmE4016N3097	2876213	Alnus glutinosa				1	1
2024	1kmE4016N3097	2880539	Quercus rubra				1	1
2024	1kmE4016N3097	2882316	Fagus sylvatica				1	1
2024	1kmE4016N3098	5333294	Castanea sativa				2	1
2024	1kmE4016N3100	2875979	Corylus avellana				1	1
2024	1kmE4016N3100	2876213	Alnus glutinosa				1	1
2024	1kmE4016N3100	2880539	Quercus rubra				1	1
2024	1kmE4016N3100	5333294	Castanea sativa				1	1
2024	1kmE4016N3104	2880539	Quercus rubra				1	1
2024	1kmE4016N3105	5333294	Castanea sativa				1	1
2024	1kmE4016N3107	2880539	Quercus rubra				1	1
2024	1kmE4016N3107	5333294	Castanea sativa				1	1
2024	1kmE4016N3108	2880539	Quercus rubra				1	1
2024	1kmE4016N3108	5333294	Castanea sativa				3	1
2024	1kmE4016N3109	2880539	Quercus rubra				1	1
2024	1kmE4016N3110	2880539	Quercus rubra				1	1
2024	1kmE4017N3082	2875818	Carpinus betulus				1	1
2024	1kmE4017N3082	2875979	Corylus avellana				4	3
2024	1kmE4017N3082	2878688	Quercus robur				1	1
2024	1kmE4017N3083	2875979	Corylus avellana				1	1
2024	1kmE4017N3083	2876213	Alnus glutinosa				1	1
2024	1kmE4017N3083	2882316	Fagus sylvatica				1	1
2024	1kmE4017N3084	3054368	Juglans regia				1	1
2024	1kmE4017N3085	2875979	Corylus avellana				2	2
2024	1kmE4017N3085	2880130	Quercus petraea				1	1
2024	1kmE4017N3085	2882316	Fagus sylvatica				1	1
2024	1kmE4017N3086	2875979	Corylus avellana				1	1
2024	1kmE4017N3086	2882316	Fagus sylvatica				1	1
2024	1kmE4017N3086	3054368	Juglans regia				1	1
2024	1kmE4017N3086	8313153	Quercus palustris				1	1
2024	1kmE4017N3087	2875818	Carpinus betulus				1	1
2024	1kmE4017N3087	2875979	Corylus avellana				1	1
2024	1kmE4017N3087	5333294	Castanea sativa				1	1
2024	1kmE4017N3088	2876213	Alnus glutinosa				1	1
2024	1kmE4017N3088	9148577	Alnus incana				1	1
2024	1kmE4017N3089	2875979	Corylus avellana				2	2
2024	1kmE4017N3089	9148577	Alnus incana				1	1
2024	1kmE4017N3090	2875979	Corylus avellana				2	2
2024	1kmE4017N3091	2875818	Carpinus betulus				1	1
2024	1kmE4017N3091	2878688	Quercus robur				1	1
2024	1kmE4017N3091	2880130	Quercus petraea				1	1
2024	1kmE4017N3092	2875818	Carpinus betulus				2	2
2024	1kmE4017N3092	2875979	Corylus avellana				1	1
2024	1kmE4017N3093	9148577	Alnus incana				1	1
2024	1kmE4017N3094	2876049	Corylus maxima				1	1
2024	1kmE4017N3094	2878688	Quercus robur				1	1
2024	1kmE4017N3094	2882316	Fagus sylvatica				1	1
2024	1kmE4017N3094	3054368	Juglans regia				1	1
2024	1kmE4017N3094	5333294	Castanea sativa				1	1
2024	1kmE4017N3095	3054368	Juglans regia				2	2
2024	1kmE4017N3095	5333294	Castanea sativa				1	1
2024	1kmE4017N3095	9148577	Alnus incana				1	1
2024	1kmE4017N3096	2876213	Alnus glutinosa				1	1
2024	1kmE4017N3096	2880539	Quercus rubra				1	1
2024	1kmE4017N3097	2875818	Carpinus betulus				1	1
2024	1kmE4017N3099	2880539	Quercus rubra				1	1
2024	1kmE4017N3099	5333294	Castanea sativa				1	1
2024	1kmE4017N3100	2880539	Quercus rubra				1	1
2024	1kmE4017N3104	2880539	Quercus rubra				1	1
2024	1kmE4017N3107	2880539	Quercus rubra				6	1
2024	1kmE4017N3108	2880539	Quercus rubra				1	1
2024	1kmE4017N3109	2880539	Quercus rubra				2	1
2024	1kmE4017N3109	5333294	Castanea sativa				1	1
2024	1kmE4017N3114	5333294	Castanea sativa				1	1
2024	1kmE4017N3115	2880539	Quercus rubra				1	1
2024	1kmE4017N3117	2880539	Quercus rubra				1	1
2024	1kmE4017N3117	5333294	Castanea sativa				1	1
2024	1kmE4018N3081	3054357	Juglans nigra				1	1
2024	1kmE4018N3081	5333294	Castanea sativa				1	1
2024	1kmE4018N3083	2875979	Corylus avellana				1	1
2024	1kmE4018N3083	2880539	Quercus rubra				1	1
2024	1kmE4018N3083	3054368	Juglans regia				1	1
2024	1kmE4018N3083	5331916	Betula pendula				1	1
2024	1kmE4018N3084	2875818	Carpinus betulus				1	1
2024	1kmE4018N3084	2875979	Corylus avellana				1	1
2024	1kmE4018N3085	2875818	Carpinus betulus				1	1
2024	1kmE4018N3085	2875979	Corylus avellana				3	3
2024	1kmE4018N3085	2878688	Quercus robur				1	1
2024	1kmE4018N3085	3054368	Juglans regia				1	1
2024	1kmE4018N3086	5333294	Castanea sativa				1	1
2024	1kmE4018N3087	3054368	Juglans regia				1	1
2024	1kmE4018N3087	5331916	Betula pendula				1	1
2024	1kmE4018N3088						1	1
2024	1kmE4018N3088	3054368	Juglans regia				1	1
2024	1kmE4018N3088	5331916	Betula pendula				1	1
2024	1kmE4018N3089	2875979	Corylus avellana				1	1
2024	1kmE4018N3089	2878688	Quercus robur				1	1
2024	1kmE4018N3090	2875979	Corylus avellana				1	1
2024	1kmE4018N3090	2878688	Quercus robur				1	1
2024	1kmE4018N3090	2882316	Fagus sylvatica				1	1
2024	1kmE4018N3091	2875979	Corylus avellana				1	1
2024	1kmE4018N3093	2878688	Quercus robur				1	1
2024	1kmE4018N3093	2882316	Fagus sylvatica				1	1
2024	1kmE4018N3094	2875818	Carpinus betulus				1	1
2024	1kmE4018N3094	2875979	Corylus avellana				1	1
2024	1kmE4018N3094	2876213	Alnus glutinosa				1	1
2024	1kmE4018N3094	5331916	Betula pendula				1	1
2024	1kmE4018N3095	5333294	Castanea sativa				1	1
2024	1kmE4018N3096	3054368	Juglans regia				1	1
2024	1kmE4018N3097	3054368	Juglans regia				2	1
2024	1kmE4018N3098	2882316	Fagus sylvatica				1	1
2024	1kmE4018N3100	2875818	Carpinus betulus				1	1
2024	1kmE4018N3100	2875979	Corylus avellana				1	1
2024	1kmE4018N3100	5331916	Betula pendula				2	2
2024	1kmE4018N3101	2880539	Quercus rubra				1	1
2024	1kmE4018N3106	2876213	Alnus glutinosa				1	1
2024	1kmE4018N3107	2880539	Quercus rubra				3	1
2024	1kmE4018N3107	3054368	Juglans regia				1	1
2024	1kmE4018N3108	2880539	Quercus rubra				1	1
2024	1kmE4018N3108	3054368	Juglans regia				2	2
2024	1kmE4018N3110	2880539	Quercus rubra				1	1
2024	1kmE4018N3113	2880539	Quercus rubra				1	1
2024	1kmE4018N3113	5333294	Castanea sativa				1	1
2024	1kmE4018N3114	5333294	Castanea sativa				1	1
2024	1kmE4018N3114	9148577	Alnus incana				1	1
2024	1kmE4018N3115	2880539	Quercus rubra				1	1
2024	1kmE4018N3115	5333294	Castanea sativa				2	1
2024	1kmE4019N3080	2878688	Quercus robur				1	1
2024	1kmE4019N3082	2875818	Carpinus betulus				1	1
2024	1kmE4019N3082	2880580	Quercus cerris				1	1
2024	1kmE4019N3084	2875979	Corylus avellana				2	1
2024	1kmE4019N3084	2878688	Quercus robur				1	1
